,brand,name,price,spec_rating,processor,CPU,Ram,ROM,ROM_type,GPU,display_size,resolution,OS,warranty
341,Lenovo,Legion Y9000X Laptop,150000,64.0,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",1GB SSD,8GB,NVIDIA,"16inches, 3200x2000pixels",Windows OS,,Backlit Keyboard,
342,MSI,Modern 15 B12M-612IN Laptop,37729,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated Iris Xe,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
343,MSI,Modern 15 B11M-061IN Laptop,40789,63.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated Iris Xe,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
344,Dell,Alienware M18 R1 2023 Gaming Laptop,450039,83.0,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",64GB LPDDR5 ,1TB,SSD,16GB NVIDIA GeForce RTX 4090,18inches,3200x1800pixels,Windows 11 OS,1 Year Warranty
345,Asus,Vivobook 14X K3405ZFB-KM752WS Laptop,89990,75.0,12th Gen Intel Core i7 12650H ,"10 Cores (6P + 4E), 16 Threads",16GB DDR4 ,1TB,SSD,4GB NVIDIA GeForce RTX 2050,14inches,2880x1800pixels,Windows 11 OS,1 Year Warranty
346,Acer,Aspire 5 15 A515-58M Gaming Laptop,56990,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR5 ,512GB,SSD,4GB NVIDIA GeForce RTX2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
347,Walker,NU14A1 Laptop,16990,,Intel Celeron  N4020,"Dual Core, 2 Threads",4GB DDR4 ,128GB,SSD,Intel Integrated UHD Graphics,14.1inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
348,Dell,Inspiron 2023 14 5430 Laptop,73990,63.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR5  ,1TB,SSD,Intel Iris Xe Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
349,Acer,Swift 3 OLED SF314-71 NX.K9PSI.003 Laptop,54990,63.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB LPDDR5 ,512GB,SSD,Intel Integrated Iris Xe,14inches,2880x1800pixels,Windows 11 OS,1 Year Warranty
350,Dell,Inspiron 14 5430 2023 Laptop,67000,60.0,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB LPDDR5  ,1TB,SSD,Intel Iris Xe Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
351,Lenovo,ThinkBook 15 21JF002CIN Laptop,34499,,7th Gen AMD Ryzen 3 7330U,"Quad Core, 8 Threads",8GB DDR4 ,512GB,SSD,AMD Radeon AMD,15.6inches,1920x1080pixels,DOS OS,1 Year Warranty
352,Lenovo,IdeaPad Gaming 3 82K101L7IN Laptop,57500,70.0,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16GB DDR4 ,512GB,SSD,4GB NVIDIA GTX 1650,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
353,HP,Pavilion Plus ‎14-eh1047TU Laptop,107763,71.0,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated Iris Xe,14inches,2880x1800pixels,Windows 11 OS,1 Year Warranty
354,Dell,Inspiron 7430 2 in 1 Laptop,61490,,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8GB LPDDR5 ,1TB,SSD,Intel UHD Graphics,14inches,1920x1200pixels,Windows 11 OS,1 Year Warranty
355,HP,Pavilion Plus 14-eh1022TU Laptop,80490,69.0,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB DDR4 ,512GB,SSD,Intel Iris Xe Graphics,14inches,2240x1400pixels,Windows 11 OS,1 Year Warranty
356,Lenovo,Ideapad Gaming 3 82SB00NXIN Laptop,57990,69.0,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16GB DDR5 ,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
357,MSI,Modern 14 C11M-029IN Laptop,39990,62.0,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB DDR4 ,512GB,SSD,Intel Integrated Iris Xe,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
358,Lenovo,Ideapad Flex 5i 14IAU7 82R70067IN Laptop,53990,64.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB LPDDR4 ,512GB,SSD,Intel Integrated UHD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
359,Dell,Inspiron 3535 Laptop,44500,,7th Gen Amd Ryzen 5 7520U,"Quad Core, 8 Threads",8GB LPDDR5 ,512GB,SSD,AMD Radeon Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
360,HP,14-hr0000AU Laptop,48999,60.0,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16GB LPDDR5 ,512GB,SSD,AMD Radeon AMD,14inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
361,HP,Envy 15-fe0032TU Laptop,116990,70.0,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB LPDDR5 ,1TB,SSD,Intel Iris X Graphics,15.6inches,1920x1080pixels,Windows 11 OS,1 Year Warranty
